schema_name,table_name,index_name,definition
auth,mfa_factors,mfa_factors_user_friendly_name_unique,"CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)"
auth,mfa_factors,mfa_factors_user_id_idx,CREATE INDEX mfa_factors_user_id_idx ON auth.mfa_factors USING btree (user_id)
auth,mfa_factors,unique_phone_factor_per_user,"CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)"
auth,oauth_authorizations,oauth_auth_pending_exp_idx,CREATE INDEX oauth_auth_pending_exp_idx ON auth.oauth_authorizations USING btree (expires_at) WHERE (status = 'pending'::auth.oauth_authorization_status)
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_code_key ON auth.oauth_authorizations USING btree (authorization_code)
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_id_key ON auth.oauth_authorizations USING btree (authorization_id)
auth,oauth_authorizations,oauth_authorizations_pkey,CREATE UNIQUE INDEX oauth_authorizations_pkey ON auth.oauth_authorizations USING btree (id)
auth,oauth_client_states,idx_oauth_client_states_created_at,CREATE INDEX idx_oauth_client_states_created_at ON auth.oauth_client_states USING btree (created_at)
auth,oauth_client_states,oauth_client_states_pkey,CREATE UNIQUE INDEX oauth_client_states_pkey ON auth.oauth_client_states USING btree (id)
auth,oauth_clients,oauth_clients_deleted_at_idx,CREATE INDEX oauth_clients_deleted_at_idx ON auth.oauth_clients USING btree (deleted_at)
auth,oauth_clients,oauth_clients_pkey,CREATE UNIQUE INDEX oauth_clients_pkey ON auth.oauth_clients USING btree (id)
auth,oauth_consents,oauth_consents_active_client_idx,CREATE INDEX oauth_consents_active_client_idx ON auth.oauth_consents USING btree (client_id) WHERE (revoked_at IS NULL)
auth,oauth_consents,oauth_consents_active_user_client_idx,"CREATE INDEX oauth_consents_active_user_client_idx ON auth.oauth_consents USING btree (user_id, client_id) WHERE (revoked_at IS NULL)"
auth,oauth_consents,oauth_consents_pkey,CREATE UNIQUE INDEX oauth_consents_pkey ON auth.oauth_consents USING btree (id)
auth,oauth_consents,oauth_consents_user_client_unique,"CREATE UNIQUE INDEX oauth_consents_user_client_unique ON auth.oauth_consents USING btree (user_id, client_id)"
auth,oauth_consents,oauth_consents_user_order_idx,"CREATE INDEX oauth_consents_user_order_idx ON auth.oauth_consents USING btree (user_id, granted_at DESC)"
auth,one_time_tokens,one_time_tokens_pkey,CREATE UNIQUE INDEX one_time_tokens_pkey ON auth.one_time_tokens USING btree (id)
auth,one_time_tokens,one_time_tokens_relates_to_hash_idx,CREATE INDEX one_time_tokens_relates_to_hash_idx ON auth.one_time_tokens USING hash (relates_to)
auth,one_time_tokens,one_time_tokens_token_hash_hash_idx,CREATE INDEX one_time_tokens_token_hash_hash_idx ON auth.one_time_tokens USING hash (token_hash)
auth,one_time_tokens,one_time_tokens_user_id_token_type_key,"CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)"
auth,refresh_tokens,refresh_tokens_instance_id_idx,CREATE INDEX refresh_tokens_instance_id_idx ON auth.refresh_tokens USING btree (instance_id)
auth,refresh_tokens,refresh_tokens_instance_id_user_id_idx,"CREATE INDEX refresh_tokens_instance_id_user_id_idx ON auth.refresh_tokens USING btree (instance_id, user_id)"
auth,refresh_tokens,refresh_tokens_parent_idx,CREATE INDEX refresh_tokens_parent_idx ON auth.refresh_tokens USING btree (parent)
auth,refresh_tokens,refresh_tokens_pkey,CREATE UNIQUE INDEX refresh_tokens_pkey ON auth.refresh_tokens USING btree (id)
auth,refresh_tokens,refresh_tokens_session_id_revoked_idx,"CREATE INDEX refresh_tokens_session_id_revoked_idx ON auth.refresh_tokens USING btree (session_id, revoked)"
auth,refresh_tokens,refresh_tokens_token_unique,CREATE UNIQUE INDEX refresh_tokens_token_unique ON auth.refresh_tokens USING btree (token)
auth,refresh_tokens,refresh_tokens_updated_at_idx,CREATE INDEX refresh_tokens_updated_at_idx ON auth.refresh_tokens USING btree (updated_at DESC)
auth,saml_providers,saml_providers_entity_id_key,CREATE UNIQUE INDEX saml_providers_entity_id_key ON auth.saml_providers USING btree (entity_id)
auth,saml_providers,saml_providers_pkey,CREATE UNIQUE INDEX saml_providers_pkey ON auth.saml_providers USING btree (id)
auth,saml_providers,saml_providers_sso_provider_id_idx,CREATE INDEX saml_providers_sso_provider_id_idx ON auth.saml_providers USING btree (sso_provider_id)
auth,saml_relay_states,saml_relay_states_created_at_idx,CREATE INDEX saml_relay_states_created_at_idx ON auth.saml_relay_states USING btree (created_at DESC)
auth,saml_relay_states,saml_relay_states_for_email_idx,CREATE INDEX saml_relay_states_for_email_idx ON auth.saml_relay_states USING btree (for_email)
auth,saml_relay_states,saml_relay_states_pkey,CREATE UNIQUE INDEX saml_relay_states_pkey ON auth.saml_relay_states USING btree (id)
auth,saml_relay_states,saml_relay_states_sso_provider_id_idx,CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id)
auth,schema_migrations,schema_migrations_pkey,CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version)
auth,sessions,sessions_not_after_idx,CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC)
auth,sessions,sessions_oauth_client_id_idx,CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id)
auth,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id)
auth,sessions,sessions_user_id_idx,CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id)
auth,sessions,user_id_created_at_idx,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)"
auth,sso_domains,sso_domains_domain_idx,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain))
auth,sso_domains,sso_domains_pkey,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id)
auth,sso_domains,sso_domains_sso_provider_id_idx,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id)
auth,sso_providers,sso_providers_pkey,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id)
auth,sso_providers,sso_providers_resource_id_idx,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id))
auth,sso_providers,sso_providers_resource_id_pattern_idx,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops)
auth,users,confirmation_token_idx,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_current_idx,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_new_idx,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text)
auth,users,reauthentication_token_idx,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text)
auth,users,recovery_token_idx,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text)
auth,users,users_email_partial_key,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false)
auth,users,users_instance_id_email_idx,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))"
auth,users,users_instance_id_idx,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id)
auth,users,users_is_anonymous_idx,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous)
auth,users,users_phone_key,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone)
auth,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id)
auth,webauthn_challenges,webauthn_challenges_expires_at_idx,CREATE INDEX webauthn_challenges_expires_at_idx ON auth.webauthn_challenges USING btree (expires_at)
auth,webauthn_challenges,webauthn_challenges_pkey,CREATE UNIQUE INDEX webauthn_challenges_pkey ON auth.webauthn_challenges USING btree (id)
auth,webauthn_challenges,webauthn_challenges_user_id_idx,CREATE INDEX webauthn_challenges_user_id_idx ON auth.webauthn_challenges USING btree (user_id)
auth,webauthn_credentials,webauthn_credentials_credential_id_key,CREATE UNIQUE INDEX webauthn_credentials_credential_id_key ON auth.webauthn_credentials USING btree (credential_id)
auth,webauthn_credentials,webauthn_credentials_pkey,CREATE UNIQUE INDEX webauthn_credentials_pkey ON auth.webauthn_credentials USING btree (id)
auth,webauthn_credentials,webauthn_credentials_user_id_idx,CREATE INDEX webauthn_credentials_user_id_idx ON auth.webauthn_credentials USING btree (user_id)
public,blocked_handles,blocked_handles_handle_key,CREATE UNIQUE INDEX blocked_handles_handle_key ON public.blocked_handles USING btree (handle)
public,blocked_handles,blocked_handles_pkey,CREATE UNIQUE INDEX blocked_handles_pkey ON public.blocked_handles USING btree (id)
public,conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public,conversations,idx_conversations_buyer,CREATE INDEX idx_conversations_buyer ON public.conversations USING btree (buyer_profile_id)
public,conversations,idx_conversations_last_message,CREATE INDEX idx_conversations_last_message ON public.conversations USING btree (last_message_at DESC)
public,conversations,idx_conversations_seller,CREATE INDEX idx_conversations_seller ON public.conversations USING btree (seller_profile_id)
public,conversations,unique_conversation,"CREATE UNIQUE INDEX unique_conversation ON public.conversations USING btree (listing_id, buyer_profile_id, seller_profile_id)"
public,event_notifications,event_notifications_pkey,CREATE UNIQUE INDEX event_notifications_pkey ON public.event_notifications USING btree (id)
public,event_notifications,event_notifications_profile_id_event_id_key,"CREATE UNIQUE INDEX event_notifications_profile_id_event_id_key ON public.event_notifications USING btree (profile_id, event_id)"
public,event_notifications,idx_event_notifications_event_id,CREATE INDEX idx_event_notifications_event_id ON public.event_notifications USING btree (event_id)
public,event_notifications,idx_event_notifications_pending,CREATE INDEX idx_event_notifications_pending ON public.event_notifications USING btree (notified_at) WHERE (notified_at IS NULL)
public,event_notifications,idx_event_notifications_profile_id,CREATE INDEX idx_event_notifications_profile_id ON public.event_notifications USING btree (profile_id)
public,events,events_pkey,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id)
public,events,events_slug_key,CREATE UNIQUE INDEX events_slug_key ON public.events USING btree (slug)
public,events,idx_events_slug,CREATE INDEX idx_events_slug ON public.events USING btree (slug)
public,events,idx_events_start_date,CREATE INDEX idx_events_start_date ON public.events USING btree (start_date)
public,favorites,favorites_pkey,CREATE UNIQUE INDEX favorites_pkey ON public.favorites USING btree (id)
public,favorites,favorites_profile_id_listing_id_key,"CREATE UNIQUE INDEX favorites_profile_id_listing_id_key ON public.favorites USING btree (profile_id, listing_id)"
public,favorites,idx_favorites_listing_id,CREATE INDEX idx_favorites_listing_id ON public.favorites USING btree (listing_id)
public,favorites,idx_favorites_profile_id,CREATE INDEX idx_favorites_profile_id ON public.favorites USING btree (profile_id)
public,featured_sellers,featured_sellers_pkey,CREATE UNIQUE INDEX featured_sellers_pkey ON public.featured_sellers USING btree (id)
public,featured_sellers,featured_sellers_profile_id_category_key,"CREATE UNIQUE INDEX featured_sellers_profile_id_category_key ON public.featured_sellers USING btree (profile_id, category)"
public,follows,follows_follower_idx,CREATE INDEX follows_follower_idx ON public.follows USING btree (follower_profile_id)
public,follows,follows_follower_profile_id_following_profile_id_key,"CREATE UNIQUE INDEX follows_follower_profile_id_following_profile_id_key ON public.follows USING btree (follower_profile_id, following_profile_id)"
public,follows,follows_following_idx,CREATE INDEX follows_following_idx ON public.follows USING btree (following_profile_id)
public,follows,follows_pkey,CREATE UNIQUE INDEX follows_pkey ON public.follows USING btree (id)
public,listings,idx_listings_category,CREATE INDEX idx_listings_category ON public.listings USING btree (category)
public,listings,idx_listings_featured,"CREATE INDEX idx_listings_featured ON public.listings USING btree (is_featured, status)"
public,listings,idx_listings_profile_id,CREATE INDEX idx_listings_profile_id ON public.listings USING btree (profile_id)
public,listings,idx_listings_search,CREATE INDEX idx_listings_search ON public.listings USING gin (search_vector)
public,listings,idx_listings_status,CREATE INDEX idx_listings_status ON public.listings USING btree (status)
public,listings,idx_listings_status_created,"CREATE INDEX idx_listings_status_created ON public.listings USING btree (status, created_at DESC)"
public,listings,idx_listings_status_submitted,"CREATE INDEX idx_listings_status_submitted ON public.listings USING btree (status, submitted_at)"
public,listings,listings_pkey,CREATE UNIQUE INDEX listings_pkey ON public.listings USING btree (id)
public,messages,idx_messages_conversation,"CREATE INDEX idx_messages_conversation ON public.messages USING btree (conversation_id, created_at)"
public,messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
public,notice_posts,idx_notice_posts_event_id,CREATE INDEX idx_notice_posts_event_id ON public.notice_posts USING btree (event_id)
public,notice_posts,idx_notice_posts_profile_id,CREATE INDEX idx_notice_posts_profile_id ON public.notice_posts USING btree (profile_id)
public,notice_posts,notice_posts_pkey,CREATE UNIQUE INDEX notice_posts_pkey ON public.notice_posts USING btree (id)
public,notice_reactions,idx_notice_reactions_post_id,CREATE INDEX idx_notice_reactions_post_id ON public.notice_reactions USING btree (post_id)
public,notice_reactions,notice_reactions_pkey,CREATE UNIQUE INDEX notice_reactions_pkey ON public.notice_reactions USING btree (id)
public,notice_reactions,notice_reactions_post_id_profile_id_emoji_key,"CREATE UNIQUE INDEX notice_reactions_post_id_profile_id_emoji_key ON public.notice_reactions USING btree (post_id, profile_id, emoji)"
public,profiles,idx_profiles_handle,CREATE INDEX idx_profiles_handle ON public.profiles USING btree (handle)
public,profiles,idx_profiles_user_id,CREATE INDEX idx_profiles_user_id ON public.profiles USING btree (user_id)
public,profiles,profiles_handle_key,CREATE UNIQUE INDEX profiles_handle_key ON public.profiles USING btree (handle)
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,reserved_handles,idx_reserved_handles_email,CREATE INDEX idx_reserved_handles_email ON public.reserved_handles USING btree (email)
public,reserved_handles,idx_reserved_handles_expires,CREATE INDEX idx_reserved_handles_expires ON public.reserved_handles USING btree (expires_at) WHERE (consumed = false)
public,reserved_handles,reserved_handles_handle_key,CREATE UNIQUE INDEX reserved_handles_handle_key ON public.reserved_handles USING btree (handle)
public,reserved_handles,reserved_handles_pkey,CREATE UNIQUE INDEX reserved_handles_pkey ON public.reserved_handles USING btree (id)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
public,vendor_events,idx_vendor_events_event_id,CREATE INDEX idx_vendor_events_event_id ON public.vendor_events USING btree (event_id)
public,vendor_events,idx_vendor_events_profile_id,CREATE INDEX idx_vendor_events_profile_id ON public.vendor_events USING btree (profile_id)
public,vendor_events,vendor_events_pkey,CREATE UNIQUE INDEX vendor_events_pkey ON public.vendor_events USING btree (id)
public,vendor_events,vendor_events_profile_id_event_id_key,"CREATE UNIQUE INDEX vendor_events_profile_id_event_id_key ON public.vendor_events USING btree (profile_id, event_id)"
storage,buckets,bname,CREATE UNIQUE INDEX bname ON storage.buckets USING btree (name)
storage,buckets,buckets_pkey,CREATE UNIQUE INDEX buckets_pkey ON storage.buckets USING btree (id)
storage,buckets_analytics,buckets_analytics_pkey,CREATE UNIQUE INDEX buckets_analytics_pkey ON storage.buckets_analytics USING btree (id)
storage,buckets_analytics,buckets_analytics_unique_name_idx,CREATE UNIQUE INDEX buckets_analytics_unique_name_idx ON storage.buckets_analytics USING btree (name) WHERE (deleted_at IS NULL)
storage,buckets_vectors,buckets_vectors_pkey,CREATE UNIQUE INDEX buckets_vectors_pkey ON storage.buckets_vectors USING btree (id)
storage,migrations,migrations_name_key,CREATE UNIQUE INDEX migrations_name_key ON storage.migrations USING btree (name)
storage,migrations,migrations_pkey,CREATE UNIQUE INDEX migrations_pkey ON storage.migrations USING btree (id)
storage,objects,bucketid_objname,"CREATE UNIQUE INDEX bucketid_objname ON storage.objects USING btree (bucket_id, name)"
storage,objects,idx_objects_bucket_id_name,"CREATE INDEX idx_objects_bucket_id_name ON storage.objects USING btree (bucket_id, name COLLATE ""C"")"
storage,objects,idx_objects_bucket_id_name_lower,"CREATE INDEX idx_objects_bucket_id_name_lower ON storage.objects USING btree (bucket_id, lower(name) COLLATE ""C"")"
storage,objects,name_prefix_search,CREATE INDEX name_prefix_search ON storage.objects USING btree (name text_pattern_ops)
storage,objects,objects_pkey,CREATE UNIQUE INDEX objects_pkey ON storage.objects USING btree (id)
storage,s3_multipart_uploads,idx_multipart_uploads_list,"CREATE INDEX idx_multipart_uploads_list ON storage.s3_multipart_uploads USING btree (bucket_id, key, created_at)"
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_pkey ON storage.s3_multipart_uploads USING btree (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_parts_pkey ON storage.s3_multipart_uploads_parts USING btree (id)
storage,vector_indexes,vector_indexes_name_bucket_id_idx,"CREATE UNIQUE INDEX vector_indexes_name_bucket_id_idx ON storage.vector_indexes USING btree (name, bucket_id)"
storage,vector_indexes,vector_indexes_pkey,CREATE UNIQUE INDEX vector_indexes_pkey ON storage.vector_indexes USING btree (id)
